,Abu Dhabi,Agra,Ahmedabad,Ahmednagar,Ajmer,Allepey,Almora,Alwar,Amritsar,Anuradhapura,Auckland,Aurangabad,Bali,Bandipur,Bangalore,Bangkok,Batam,Bentota,Bharatpur,Bikaner,Bintan Island,Bundi,Cairns,Chail,Chandigarh,Chennai,Cherrapunjee,Chintpurni,Chittorgarh,Christchurch,Cochin,Colombo,Coorg,Copenhagen,Corbett,Dalhousie,Daman,Dambulla,Darjeeling,Dharamshala,Dubai,Dwarka,Franz Josef,Galle,Gangtok,Ganpatipule,Genting,Goa,Gokarna,Gold Coast,Gulmarg,Guwahati,Gwalior,Hampi,Haridwar,Hassan,Havelock,Helsinki,Hong Kong,Jaipur,Jaisalmer,Jakarta,Jammu,Jamnagar,Jodhpur,Johor Bahru,Joshimath,Kabini,Kalimpong,Kanchipuram,Kandy,Kangra,Kanyakumari,Kasauli,Kasol,Katra,Kausani,Kaziranga,Khajuraho,Kishangarh,Kodaikanal,Kota Kinabalu,Kovalam,Kovalam and Poovar,Krabi town,Kuala Lumpur,Kullu,Kumarakom,Kumbakonam,Kumbalgarh,Kuta,Lachen,Lachung,Langkawi,Leh,Lucknow,Madurai,Mahabalipuram,Mahe Island,Manali,Mandawa,Mathura,Mauritius,Melbourne,Moscow,Mount Abu,Mumbai,Munnar,Mussoorie,Mysore,Nainital,Namchi,Nameri,Nanded,Nasik,Nawalgarh,Negombo,New Delhi,Niel Island,Nubra Valley,Nuwara Eliya,Ooty,Orchha,Oslo,Pahalgam,Palampur,Pali,Paris,Paro,Parwanoo,Patnitop,Pattaya,Pelling,Penang,Phuentsholing,Phuket,Pondicherry,Poovar,Port Blair,Prague,Praslin Island,Punakha,Pushkar,Queenstown,Rameshwaram,Ranakpur,Ranikhet,Ranthambhore,Ras Al Khaimah,Rishikesh,Rotorua,Saint Petersburg,Saputara,Seminyak,Sharjah,Shillong,Shimla,Shirdi,Sigiriya,Siliguri,Singapore,Singapore Cruise,Somnath,Sonmarg,Srinagar,Sydney,Tanjore,Thekkady,Thimpu,Tirupati,Trincomalee,Trivandrum,Udaipur,Vadodara,Varanasi,Varkala,Wayanad,Yala
Abu Dhabi,0,7558.0895,8045.9475,8458.349,7523.876,9921.215,7207.932,7362.475,7061.652,0,0,8008.799,0,7620.214,9352.558,11138.123,0,0,7628.0985,7426.349,0,7618.097,0,6798.802,6924.87,9377.149,8712.844,6963.056,7725.4665,0,9875.125,0,9370.893,6724.8065,0,0,8370.683,0,8148.8255,6895.3065,125.09544,8369.846,0,0,8055.168,8849.213,0,8978.808,9388.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agra,7570.4855,0,889.19781,1166.89313,367.12628,2446.536,421.48431,176.56813,687.30056,0,0,770.76806,0,827.01544,1877.87888,4038.98625,0,0,89.74879,569.63188,0,396.1675,0,9861.303,487.36897,1902.469,1795.79475,658.59981,568.71663,0,2400.446,0,1896.21325,9001.236,0,0,1213.93325,0,1277.58363,726.60175,7653.203,1282.8085,0,0,1348.55063,1551.21088,0,1687.35275,1769.65588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmedabad,8078.0095,889.53531,0,642.06938,522.81209,1940.04213,1321.20675,785.42888,1136.661,0,0,1494.261,0,1630.37475,1455.2245,4764.3435,0,0,822.857,656.85206,0,528.76794,0,10368.827,1128.00175,1697.46338,2542.48975,1216.17525,342.25822,0,1893.95213,0,1460.38063,9508.76,0,0,362.69366,0,2024.27863,1301.20663,8160.727,448.77931,0,0,2095.24563,841.22313,0,1093.77525,1192.51138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmednagar,8485.628,1169.50025,642.7535,0,985.52725,1320.58075,1748.44325,1168.42863,1711.267,0,0,1453.10388,0,1711.48575,835.76306,4490.1915,0,0,1118.7985,1304.265,0,863.31463,0,10776.445,1535.61988,1078.002,2276.9115,1706.85063,783.43081,0,1274.49075,0,840.91919,9916.378,0,0,318.18284,0,1979.80263,1774.85263,8568.345,1032.21344,0,0,2050.76975,431.35616,0,548.85119,631.15425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajmer,7555.3075,366.83322,522.72888,986.11606,0,2284.08875,798.50463,262.72678,749.70294,0,0,1139.7785,0,1196.02588,1799.27113,4407.997,0,0,300.15488,266.78759,0,185.026,0,9846.125,605.29963,1979.95563,2164.805,776.53044,221.41972,0,2237.99875,0,1804.42725,8986.058,0,0,847.46431,0,1646.594,844.53238,7638.025,916.3395,0,0,1717.56113,1325.99375,0,1506.57563,1588.87875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allepey,9928.192,2451.8625,1937.73175,1317.64188,2280.5055,0,2810.44,2463.407,3006.24525,0,0,2437.266,0,2773.4825,563.43088,5117.7435,0,0,2413.77675,2599.24325,0,2158.293,0,12219.01,2830.59825,730.56419,2904.464,3001.829,2078.40913,0,57.18953,0,555.73125,11358.943,0,0,1613.16113,0,2864.076,3069.831,10010.91,2327.19175,0,0,2918.71475,1074.02475,0,797.69769,689.0655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almora,7220.2505,421.30841,1321.0005,1738.42888,798.929,2815.75725,0,557.74081,703.24394,0,0,945.72275,0,842.63738,2247.1,4066.04175,0,0,506.56019,824.07256,0,827.1915,0,9511.068,492.86241,2271.69025,1822.85,654.3025,972.80644,0,2769.66725,0,2265.4345,8651.001,0,0,1645.736,0,1304.639,722.30444,7302.968,1714.61113,0,0,1375.606,2026.24075,0,2225.983,2282.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alwar,7390.639,176.47022,782.24694,1170.75475,260.17539,2468.7275,558.84738,0,640.56275,0,0,949.41544,0,1005.66288,1983.90975,4217.634,0,0,109.79187,401.61197,0,309.37578,0,9681.456,440.63113,2052.51188,1974.44213,611.86194,461.76575,0,2422.6375,0,1989.06588,8821.389,0,0,1106.98238,0,1456.231,679.86388,7473.3565,1175.8575,0,0,1527.19813,1555.0725,0,1691.21425,1773.51738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amritsar,7077.129,688.24919,1139.69063,1711.78188,752.92425,3009.75475,707.36213,641.43606,0,0,0,1396.151,0,1345.3435,2524.937,4635.1105,0,0,703.29594,501.69963,0,871.53019,0,9367.946,228.29184,2586.4605,2391.919,140.35102,956.53169,0,2963.66475,0,2530.093,8507.879,0,0,1505.85163,0,1873.70775,196.08298,7159.8465,1445.1965,0,0,1944.67488,1984.38113,0,2236.93325,2314.5445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anuradhapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
